name,http_last_check,http_status,https_last_check,https_status
sante.fr,2022-12-13,301 Moved Permanently https://www.sante.fr/,2022-12-13,301 Moved Permanently https://www.sante.fr/
annuaire.sante.fr,2022-12-13,200 OK,2022-12-13,200 OK
partenaire.annuaire.sante.fr,2022-12-13,Timeout,2022-12-13,Timeout
partenaires.annuaire.sante.fr,2022-12-13,200 OK,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:997)
temp.partenaires.annuaire.sante.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
ws.partenaires.annuaire.sante.fr,2022-12-13,200 OK,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:997)
ws2.partenaires.annuaire.sante.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
ws.annuaire.sante.fr,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:997),2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:997)
ansm.sante.fr,2022-12-13,200 OK,2022-12-13,200 OK
agence-prd.ansm.sante.fr,2022-12-13,200 OK,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'agence-prd.ansm.sante.fr'. (_ssl.c:997)"
expertlink.ansm.sante.fr,2022-12-13,200 OK,2022-12-13,200 OK
iccnq.ansm.sante.fr,2022-12-13,Timeout,2022-12-13,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:997)
icelearning.ansm.sante.fr,2022-12-13,Timeout,2022-12-13,Timeout
icprhosper.ansm.sante.fr,2022-12-13,200 OK,2022-12-13,200 OK
ictaxercb.ansm.sante.fr,2022-12-13,200 OK,2022-12-13,200 OK
arh-centre.sante.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.arh-centre.sante.fr,2022-12-13,"Connect call failed ('213.56.30.98', 80)",2022-12-13,Timeout
ars.sante.fr,2022-12-13,301 Moved Permanently https://www.ars.sante.fr/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ars.sante.fr'. (_ssl.c:997)"
arhgos.ars.sante.fr,2022-12-13,200 OK,2022-12-13,200 OK
auvergne-rhone-alpes.ars.sante.fr,2022-12-13,301 Moved Permanently https://www.auvergne-rhone-alpes.ars.sante.fr/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'auvergne-rhone-alpes.ars.sante.fr'. (_ssl.c:997)"
www.auvergne-rhone-alpes.ars.sante.fr,2022-12-13,200 OK,2022-12-13,200 OK
bourgogne-franche-comte.ars.sante.fr,2022-12-13,301 Moved Permanently https://www.bourgogne-franche-comte.ars.sante.fr/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'bourgogne-franche-comte.ars.sante.fr'. (_ssl.c:997)"
www.bourgogne-franche-comte.ars.sante.fr,2022-12-13,200 OK,2022-12-13,200 OK
bretagne.ars.sante.fr,2022-12-13,301 Moved Permanently https://www.bretagne.ars.sante.fr/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'bretagne.ars.sante.fr'. (_ssl.c:997)"
www.bretagne.ars.sante.fr,2022-12-13,200 OK,2022-12-13,200 OK
centre-val-de-loire.ars.sante.fr,2022-12-13,301 Moved Permanently https://www.centre-val-de-loire.ars.sante.fr/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'centre-val-de-loire.ars.sante.fr'. (_ssl.c:997)"
www.centre-val-de-loire.ars.sante.fr,2022-12-13,200 OK,2022-12-13,200 OK
corse.ars.sante.fr,2022-12-13,301 Moved Permanently https://www.corse.ars.sante.fr/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'corse.ars.sante.fr'. (_ssl.c:997)"
cellulecovid.corse.ars.sante.fr,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997),2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)
patient.corse.ars.sante.fr,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997),2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)
www.corse.ars.sante.fr,2022-12-13,200 OK,2022-12-13,200 OK
declarations-pharmacie.ars.sante.fr,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997),2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)
democratie-sanitaire-pays-de-la-loire.ars.sante.fr,2022-12-13,301 Moved Permanently https://www.democratie-sanitaire-pays-de-la-loire.ars.sante.fr/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'democratie-sanitaire-pays-de-la-loire.ars.sante.fr'. (_ssl.c:997)"
www.democratie-sanitaire-pays-de-la-loire.ars.sante.fr,2022-12-13,200 OK,2022-12-13,200 OK
img.diffusion.ars.sante.fr,2022-12-13,200 OK,2022-12-13,200 OK
ecarsproxy.ars.sante.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
grand-est.ars.sante.fr,2022-12-13,301 Moved Permanently https://www.grand-est.ars.sante.fr/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'grand-est.ars.sante.fr'. (_ssl.c:997)"
www.grand-est.ars.sante.fr,2022-12-13,200 OK,2022-12-13,200 OK
guadeloupe.ars.sante.fr,2022-12-13,301 Moved Permanently https://www.guadeloupe.ars.sante.fr/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'guadeloupe.ars.sante.fr'. (_ssl.c:997)"
www.guadeloupe.ars.sante.fr,2022-12-13,200 OK,2022-12-13,200 OK
guyane.ars.sante.fr,2022-12-13,301 Moved Permanently https://www.guyane.ars.sante.fr/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'guyane.ars.sante.fr'. (_ssl.c:997)"
www.guyane.ars.sante.fr,2022-12-13,200 OK,2022-12-13,200 OK
hauts-de-france.ars.sante.fr,2022-12-13,301 Moved Permanently https://www.hauts-de-france.ars.sante.fr/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'hauts-de-france.ars.sante.fr'. (_ssl.c:997)"
www.hauts-de-france.ars.sante.fr,2022-12-13,200 OK,2022-12-13,200 OK
