name,http_last_check,http_status,https_last_check,https_status
fos-sur-mer.fr,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fos-sur-mer.fr'. (_ssl.c:997)",2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fos-sur-mer.fr'. (_ssl.c:997)"
www.fos-sur-mer.fr,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.fos-sur-mer.fr'. (_ssl.c:997)",2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.fos-sur-mer.fr'. (_ssl.c:997)"
fosse66.fr,2022-12-13,301 Moved Permanently http://www.fosse66.fr/,2022-12-13,"Connect call failed ('62.210.187.241', 443)"
www.fosse66.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('62.210.187.241', 443)"
fossemagne.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.fossemagne.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
fossurmer.fr,2022-12-13,301 Moved Permanently http://www.fossurmer.fr/,2022-12-13,301 Moved Permanently http://www.fossurmer.fr/
www.fossurmer.fr,2022-12-13,200 OK,2022-12-13,200 OK
foucheres89.fr,2022-12-13,200 OK,2022-12-13,200 OK
fougerolles.fr,2022-12-13,301 Moved Permanently http://fougerolles-saint-valbert.fr,2022-12-13,"Connect call failed ('213.186.33.5', 443)"
www.fougerolles.fr,2022-12-13,301 Moved Permanently http://www.fougerolles-saint-valbert.fr,2022-12-13,"Connect call failed ('213.186.33.5', 443)"
fouquieres-lez-bethune.fr,2022-12-13,301 Moved Permanently https://www.fouquieres-lez-bethune.fr,2022-12-13,301 Moved Permanently https://www.fouquieres-lez-bethune.fr/
www.fouquieres-lez-bethune.fr,2022-12-13,200 OK,2022-12-13,200 OK
fouras-les-bains.fr,2022-12-13,200 OK,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: EE certificate key too weak (_ssl.c:997)
www.fouras-les-bains.fr,2022-12-13,200 OK,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: EE certificate key too weak (_ssl.c:997)
fourmies.fr,2022-12-13,200 OK,2022-12-13,200 OK
www.fourmies.fr,2022-12-13,200 OK,2022-12-13,200 OK
foussemagne.fr,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'foussemagne.fr'. (_ssl.c:997)",2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'foussemagne.fr'. (_ssl.c:997)"
www.foussemagne.fr,2022-12-13,200 OK,2022-12-13,200 OK
fouzilhon.fr,2022-12-13,302 Moved Temporarily https://fouzilhon.fr:443/,2022-12-13,301 Moved Permanently https://www.fouzilhon.fr/
www.fouzilhon.fr,2022-12-13,302 Moved Temporarily https://www.fouzilhon.fr:443/,2022-12-13,200 OK
foyerderoumens.fr,2022-12-13,301 Moved Permanently https://www.foyerderoumens.fr/,2022-12-13,301 Moved Permanently https://www.foyerderoumens.fr/
www.foyerderoumens.fr,2022-12-13,200 OK,2022-12-13,200 OK
saint-remy71.fr.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.saint-remy71.fr.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
fraisses.fr,2022-12-13,200 OK,2022-12-13,200 OK
www.fraisses.fr,2022-12-13,200 OK,2022-12-13,200 OK
framerville-rainecourt.fr,2022-12-13,301 Moved Permanently http://www.framerville-rainecourt.fr/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'framerville-rainecourt.fr'. (_ssl.c:997)"
www.framerville-rainecourt.fr,2022-12-13,200 OK,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.framerville-rainecourt.fr'. (_ssl.c:997)"
francastel.fr,2022-12-13,301 Moved Permanently http://www.francastel.fr/,2022-12-13,[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:997)
www.francastel.fr,2022-12-13,200 OK,2022-12-13,[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:997)
franchevelle.fr,2022-12-13,301 Moved Permanently https://www.franchevelle.fr/,2022-12-13,301 Moved Permanently https://www.franchevelle.fr/
www.franchevelle.fr,2022-12-13,200 OK,2022-12-13,200 OK
franquevillesaintpierre.fr,2022-12-13,301 Moved Permanently https://www.franquevillesaintpierre.com/,2022-12-13,301 Moved Permanently https://www.franquevillesaintpierre.com/
www.franquevillesaintpierre.fr,2022-12-13,301 Moved Permanently https://www.franquevillesaintpierre.com/,2022-12-13,301 Moved Permanently https://www.franquevillesaintpierre.com/
frayssinet-le-gelat.fr,2022-12-13,301 Moved Permanently http://www.frayssinet-le-gelat.fr/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'frayssinet-le-gelat.fr'. (_ssl.c:997)"
www.frayssinet-le-gelat.fr,2022-12-13,200 OK,2022-12-13,200 OK
frebuans.fr,2022-12-13,200 OK,2022-12-13,200 OK
www.frebuans.fr,2022-12-13,200 OK,2022-12-13,200 OK
chamboulive.19.free.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
doudeauville.62.free.fr,2022-12-13,200 OK,2022-12-13,Timeout
63lapeyrouse.free.fr,2022-12-13,200 OK,2022-12-13,Timeout
assevillers.80.free.fr,2022-12-13,403 Forbidden,2022-12-13,Timeout
aast.free.fr,2022-12-13,200 OK,2022-12-13,Timeout
www.aast.free.fr,2022-12-13,200 OK,2022-12-13,Timeout
djabir.abdallah.free.fr,2022-12-13,200 OK,2022-12-13,Timeout
adinfer.free.fr,2022-12-13,200 OK,2022-12-13,Timeout
affleville.free.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
weyer.alsace.free.fr,2022-12-13,200 OK,2022-12-13,Timeout
sehet.andre.free.fr,2022-12-13,200 OK,2022-12-13,Timeout
pont.arcy.free.fr,2022-12-13,Name or service not known,2022-12-13,Name or service not known
asnois.free.fr,2022-12-13,200 OK,2022-12-13,Timeout
auxon.free.fr,2022-12-13,200 OK,2022-12-13,Timeout
auzouer.free.fr,2022-12-13,403 Forbidden,2022-12-13,Timeout
barzun.free.fr,2022-12-13,200 OK,2022-12-13,Timeout
bechy.free.fr,2022-12-13,301 Moved Permanently http://www.bechy.fr,2022-12-13,Timeout
behonne.free.fr,2022-12-13,403 Forbidden,2022-12-13,Timeout
betheniville.free.fr,2022-12-13,200 OK,2022-12-13,Timeout
bischtroffsursarre.free.fr,2022-12-13,200 OK,2022-12-13,Timeout
bouilhanet.free.fr,2022-12-13,200 OK,2022-12-13,Timeout
buhllorraine.free.fr,2022-12-13,200 OK,2022-12-13,Timeout
