name,http_last_check,http_status,https_last_check,https_status
aspach-le-bas.alsace,2022-12-12,200 OK,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'aspach-le-bas.alsace'. (_ssl.c:997)"
www.aspach-le-bas.alsace,2022-12-12,200 OK,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.aspach-le-bas.alsace'. (_ssl.c:997)"
bischheim.alsace,2022-12-12,301 Moved Permanently http://www.bischheim.alsace,2022-12-12,"Connect call failed ('217.70.184.38', 443)"
www.bischheim.alsace,2022-12-12,200 OK,2022-12-12,200 OK
gueberschwihr.alsace,2022-12-12,302 Moved Temporarily https://gueberschwihr.alsace:443/,2022-12-12,301 Moved Permanently https://www.gueberschwihr.alsace/
www.gueberschwihr.alsace,2022-12-12,302 Moved Temporarily https://www.gueberschwihr.alsace:443/,2022-12-12,200 OK
weinbourg.hanau-lapetitepierre.alsace,2022-12-12,200 OK,2022-12-12,200 OK
www.weinbourg.hanau-lapetitepierre.alsace,2022-12-12,Name or service not known,2022-12-12,Name or service not known
hatten.alsace,2022-12-12,301 Moved Permanently https://www.hatten.alsace/,2022-12-12,301 Moved Permanently https://www.hatten.alsace/
www.hatten.alsace,2022-12-12,200 OK,2022-12-12,200 OK
lohr.alsace,2022-12-12,200 OK,2022-12-12,200 OK
www.lohr.alsace,2022-12-12,200 OK,2022-12-12,200 OK
mulhausen.alsace,2022-12-12,200 OK,2022-12-12,200 OK
www.mulhausen.alsace,2022-12-12,200 OK,2022-12-12,200 OK
munster.alsace,2022-12-12,301 Moved Permanently https://www.munster.alsace/,2022-12-12,301 Moved Permanently https://www.munster.alsace/
www.munster.alsace,2022-12-12,200 OK,2022-12-12,200 OK
pfaffenheim.alsace,2022-12-12,301 Moved Permanently http://www.pfaffenheim.alsace/,2022-12-12,301 Moved Permanently http://www.pfaffenheim.alsace/
www.pfaffenheim.alsace,2022-12-12,200 OK,2022-12-12,200 OK
rothbach.alsace,2022-12-12,403 Forbidden,2022-12-12,403 Forbidden
www.rothbach.alsace,2022-12-12,403 Forbidden,2022-12-12,403 Forbidden
argentre-du-plessis.bzh,2022-12-12,301 Moved Permanently http://www.argentre-du-plessis.fr,2022-12-12,"Connect call failed ('217.70.184.38', 443)"
www.argentre-du-plessis.bzh,2022-12-12,301 Moved Permanently http://www.argentre-du-plessis.fr,2022-12-12,"Connect call failed ('217.70.184.50', 443)"
beaussais-sur-mer.bzh,2022-12-12,200 OK,2022-12-12,200 OK
www.beaussais-sur-mer.bzh,2022-12-12,200 OK,2022-12-12,200 OK
bourbriac.bzh,2022-12-12,301 Moved Permanently https://www.bourbriac.bzh/,2022-12-12,301 Moved Permanently https://www.bourbriac.bzh/
www.bourbriac.bzh,2022-12-12,200 OK,2022-12-12,200 OK
briec.bzh,2022-12-12,301 Moved Permanently https://www.briec.bzh/,2022-12-12,301 Moved Permanently https://www.briec.bzh/
www.briec.bzh,2022-12-12,200 OK,2022-12-12,200 OK
brignac.bzh,2022-12-12,200 OK,2022-12-12,200 OK
www.brignac.bzh,2022-12-12,301 Moved Permanently https://brignac.bzh,2022-12-12,"Connect call failed ('217.70.184.50', 443)"
cournon.bzh,2022-12-12,302 Found https://www.cournon.bzh/,2022-12-12,200 OK
www.cournon.bzh,2022-12-12,200 OK,2022-12-12,200 OK
elliant.bzh,2022-12-12,404 Not Found,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'elliant.bzh'. (_ssl.c:997)"
www.elliant.bzh,2022-12-12,200 OK,2022-12-12,200 OK
ergue-gaberic.bzh,2022-12-12,301 Moved Permanently https://www.ergue-gaberic.bzh/,2022-12-12,301 Moved Permanently https://www.ergue-gaberic.bzh/
www.ergue-gaberic.bzh,2022-12-12,200 OK,2022-12-12,200 OK
evran.bzh,2022-12-12,301 Moved Permanently https://www.evran.bzh/,2022-12-12,301 Moved Permanently https://www.evran.bzh/
www.evran.bzh,2022-12-12,200 OK,2022-12-12,200 OK
guipavas.bzh,2022-12-12,200 OK,2022-12-12,200 OK
www.guipavas.bzh,2022-12-12,301 Moved Permanently http://guipavas.bzh/,2022-12-12,301 Moved Permanently http://guipavas.bzh/
hennebont.bzh,2022-12-12,301 Moved Permanently https://www.hennebont.bzh/,2022-12-12,301 Moved Permanently https://www.hennebont.bzh/
www.hennebont.bzh,2022-12-12,200 OK,2022-12-12,200 OK
la-trinite-porhoet.bzh,2022-12-12,200 OK,2022-12-12,200 OK
www.la-trinite-porhoet.bzh,2022-12-12,200 OK,2022-12-12,200 OK
lachapelledesfougeretz.bzh,2022-12-12,301 Moved Permanently https://www.lachapelledesfougeretz.bzh/,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'lachapelledesfougeretz.bzh'. (_ssl.c:997)"
www.lachapelledesfougeretz.bzh,2022-12-12,200 OK,2022-12-12,200 OK
lamballe-armor.bzh,2022-12-12,No address associated with hostname,2022-12-12,No address associated with hostname
www.lamballe-armor.bzh,2022-12-12,200 OK,2022-12-12,200 OK
landerneau.bzh,2022-12-12,302 Found https://www.landerneau.bzh/wp-signup.php?new=landerneau.bzh,2022-12-12,302 Found https://www.landerneau.bzh/wp-signup.php?new=landerneau.bzh
www.landerneau.bzh,2022-12-12,200 OK,2022-12-12,200 OK
lanester.bzh,2022-12-12,301 Moved Permanently http://www.lanester.bzh/,2022-12-12,301 Moved Permanently http://www.lanester.bzh/
www.lanester.bzh,2022-12-12,200 OK,2022-12-12,200 OK
langolen.bzh,2022-12-12,200 OK,2022-12-12,200 OK
www.langolen.bzh,2022-12-12,301 Moved Permanently https://langolen.bzh/,2022-12-12,301 Moved Permanently https://langolen.bzh/
langonnet.bzh,2022-12-12,301 Moved Permanently http://www.langonnet.bzh/,2022-12-12,Connection reset by peer
www.langonnet.bzh,2022-12-12,301 Moved Permanently https://www.langonnet.bzh:443/,2022-12-12,200 OK
lanloup.bzh,2022-12-12,301 Moved Permanently http://www.lanloup.bzh/,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'lanloup.bzh'. (_ssl.c:997)"
www.lanloup.bzh,2022-12-12,200 OK,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.lanloup.bzh'. (_ssl.c:997)"
lanmodez.bzh,2022-12-12,200 OK,2022-12-12,Network is unreachable
www.lanmodez.bzh,2022-12-12,200 OK,2022-12-12,Network is unreachable
larochejaudy.bzh,2022-12-12,200 OK,2022-12-12,200 OK
www.larochejaudy.bzh,2022-12-12,301 Moved Permanently https://larochejaudy.bzh/,2022-12-12,301 Moved Permanently https://larochejaudy.bzh/
lavraiecroix.bzh,2022-12-12,No address associated with hostname,2022-12-12,No address associated with hostname
www.lavraiecroix.bzh,2022-12-12,200 OK,2022-12-12,200 OK
le-cloitre-saint-thegonnec.bzh,2022-12-12,301 Moved Permanently https://www.le-cloitre-saint-thegonnec.bzh/,2022-12-12,301 Moved Permanently https://www.le-cloitre-saint-thegonnec.bzh/
www.le-cloitre-saint-thegonnec.bzh,2022-12-12,200 OK,2022-12-12,200 OK
lecrouais.bzh,2022-12-12,301 Moved Permanently https://www.lecrouais.bzh/,2022-12-12,301 Moved Permanently https://www.lecrouais.bzh/
www.lecrouais.bzh,2022-12-12,200 OK,2022-12-12,200 OK
letrevoux.bzh,2022-12-12,200 OK,2022-12-12,200 OK
www.letrevoux.bzh,2022-12-12,301 Moved Permanently http://letrevoux.bzh/,2022-12-12,301 Moved Permanently https://letrevoux.bzh/
lorient.bzh,2022-12-12,302 Found  https://www.lorient.bzh,2022-12-12,302 Found  https://www.lorient.bzh
www.lorient.bzh,2022-12-12,200 OK,2022-12-12,200 OK
mairie-de-becherel.bzh,2022-12-12,200 OK,2022-12-12,200 OK
mairie-gael.bzh,2022-12-12,301 Moved Permanently https://www.mairie-gael.bzh/,2022-12-12,301 Moved Permanently https://www.mairie-gael.bzh/
www.mairie-gael.bzh,2022-12-12,200 OK,2022-12-12,200 OK
mairie-gouesnach.bzh,2022-12-12,200 OK,2022-12-12,200 OK
www.mairie-gouesnach.bzh,2022-12-12,301 Moved Permanently https://mairie-gouesnach.bzh/,2022-12-12,301 Moved Permanently https://mairie-gouesnach.bzh/
mairie-plouye.bzh,2022-12-12,301 Moved Permanently https://www.mairie-plouye.bzh/,2022-12-12,301 Moved Permanently https://www.mairie-plouye.bzh/
www.mairie-plouye.bzh,2022-12-12,200 OK,2022-12-12,200 OK
mairie-saint-rivoal.bzh,2022-12-12,200 OK,2022-12-12,200 OK
mairieguerledan.bzh,2022-12-12,403 Forbidden,2022-12-12,403 Forbidden
www.mairieguerledan.bzh,2022-12-12,403 Forbidden,2022-12-12,403 Forbidden
melle.bzh,2022-12-12,301 Moved Permanently http://www.melle.bzh,2022-12-12,ClientConnectorError: Cannot connect to host melle.bzh:443 ssl:default [None]
www.melle.bzh,2022-12-12,200 OK,2022-12-12,200 OK
mesnilroch.bzh,2022-12-12,200 OK,2022-12-12,200 OK
www.mesnilroch.bzh,2022-12-12,Name or service not known,2022-12-12,Name or service not known
moncontour.bzh,2022-12-12,200 OK,2022-12-12,200 OK
www.moncontour.bzh,2022-12-12,301 Moved Permanently https://moncontour.bzh/,2022-12-12,301 Moved Permanently https://moncontour.bzh/
moutiers.bzh,2022-12-12,301 Moved Permanently https://www.moutiers.bzh/,2022-12-12,301 Moved Permanently https://www.moutiers.bzh/
www.moutiers.bzh,2022-12-12,200 OK,2022-12-12,200 OK
muel.bzh,2022-12-12,200 OK,2022-12-12,200 OK
www.muel.bzh,2022-12-12,301 Moved Permanently http://muel.fr/,2022-12-12,"Connect call failed ('213.186.33.5', 443)"
pledran.bzh,2022-12-12,200 OK,2022-12-12,200 OK
www.pledran.bzh,2022-12-12,200 OK,2022-12-12,200 OK
plescop.bzh,2022-12-12,301 Moved Permanently https://www.plescop.bzh/,2022-12-12,301 Moved Permanently https://www.plescop.bzh/
www.plescop.bzh,2022-12-12,200 OK,2022-12-12,200 OK
pleugriffet.bzh,2022-12-12,200 OK,2022-12-12,200 OK
www.pleugriffet.bzh,2022-12-12,301 Moved Permanently https://pleugriffet.bzh/,2022-12-12,301 Moved Permanently https://pleugriffet.bzh/
pleumeleuc.bzh,2022-12-12,301 Moved Permanently http://www.pleumeleuc.bzh/,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'pleumeleuc.bzh'. (_ssl.c:997)"
www.pleumeleuc.bzh,2022-12-12,200 OK,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.pleumeleuc.bzh'. (_ssl.c:997)"
pleumeur-gautier.bzh,2022-12-12,301 Moved Permanently http://www.pleumeur-gautier.bzh,2022-12-12,"Connect call failed ('217.70.184.38', 443)"
www.pleumeur-gautier.bzh,2022-12-12,200 OK,2022-12-12,200 OK
plevin.bzh,2022-12-12,200 OK,2022-12-12,"Connect call failed ('217.70.184.38', 443)"
www.plevin.bzh,2022-12-12,200 OK,2022-12-12,200 OK
ploermel.bzh,2022-12-12,301 Moved Permanently https://www.ploermel.bzh/,2022-12-12,301 Moved Permanently https://www.ploermel.bzh/
www.ploermel.bzh,2022-12-12,200 OK,2022-12-12,200 OK
ploeuclhermitage.bzh,2022-12-12,301 Moved Permanently http://www.ploeuclhermitage.bzh,2022-12-12,301 Moved Permanently https://www.ploeuclhermitage.bzh
www.ploeuclhermitage.bzh,2022-12-12,200 OK,2022-12-12,200 OK
plomelin.bzh,2022-12-12,200 OK,2022-12-12,200 OK
www.plomelin.bzh,2022-12-12,301 Moved Permanently https://plomelin.bzh/,2022-12-12,301 Moved Permanently https://plomelin.bzh/
ploubazlanec.bzh,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ploubazlanec.bzh'. (_ssl.c:997)",2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ploubazlanec.bzh'. (_ssl.c:997)"
www.ploubazlanec.bzh,2022-12-12,200 OK,2022-12-12,200 OK
plougoulm.bzh,2022-12-12,301 Moved Permanently https://www.plougoulm.bzh/,2022-12-12,Network is unreachable
www.plougoulm.bzh,2022-12-12,200 OK,2022-12-12,200 OK
plougoumelen.bzh,2022-12-12,301 Moved Permanently https://www.plougoumelen.bzh/,2022-12-12,301 Moved Permanently https://www.plougoumelen.bzh/
www.plougoumelen.bzh,2022-12-12,200 OK,2022-12-12,200 OK
ploumoguer.bzh,2022-12-12,301 Moved Permanently https://www.ploumoguer.bzh/,2022-12-12,301 Moved Permanently https://www.ploumoguer.bzh/
www.ploumoguer.bzh,2022-12-12,200 OK,2022-12-12,200 OK
plounerin.bzh,2022-12-12,200 OK,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'plounerin.bzh'. (_ssl.c:997)"
www.plounerin.bzh,2022-12-12,200 OK,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.plounerin.bzh'. (_ssl.c:997)"
plozevet.bzh,2022-12-12,301 Moved Permanently http://www.plozevet.fr/,2022-12-12,Connection reset by peer
www.plozevet.bzh,2022-12-12,301 Moved Permanently http://www.plozevet.fr/,2022-12-12,Connection reset by peer
plufur.bzh,2022-12-12,301 Moved Permanently http://www.plufur.bzh/,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'plufur.bzh'. (_ssl.c:997)"
www.plufur.bzh,2022-12-12,200 OK,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.plufur.bzh'. (_ssl.c:997)"
plumeliau-bieuzy.bzh,2022-12-12,301 Moved Permanently https://www.plumeliau-bieuzy.bzh/,2022-12-12,301 Moved Permanently https://www.plumeliau-bieuzy.bzh/
www.plumeliau-bieuzy.bzh,2022-12-12,200 OK,2022-12-12,200 OK
poher.bzh,2022-12-12,301 Moved Permanently http://www.poher.bzh,2022-12-12,"Connect call failed ('217.70.184.38', 443)"
www.poher.bzh,2022-12-12,200 OK,2022-12-12,200 OK
saint-aubin-du-cormier.bzh,2022-12-12,301 Moved Permanently https://www.saint-aubin-du-cormier.bzh/,2022-12-12,301 Moved Permanently https://www.saint-aubin-du-cormier.bzh/
www.saint-aubin-du-cormier.bzh,2022-12-12,200 OK,2022-12-12,200 OK
saintehelenesurmer.bzh,2022-12-12,200 OK,2022-12-12,200 OK
www.saintehelenesurmer.bzh,2022-12-12,301 Moved Permanently https://saintehelenesurmer.bzh/,2022-12-12,301 Moved Permanently https://saintehelenesurmer.bzh/
scrignac.bzh,2022-12-12,301 Moved Permanently https://scrignac.bzh:443/,2022-12-12,200 OK
www.scrignac.bzh,2022-12-12,301 Moved Permanently https://www.scrignac.bzh:443/,2022-12-12,301 Moved Permanently https://scrignac.bzh/
sene.bzh,2022-12-12,301 Moved Permanently https://www.sene.bzh/,2022-12-12,301 Moved Permanently https://www.sene.bzh/
www.sene.bzh,2022-12-12,200 OK,2022-12-12,200 OK
st-andre-des-eaux22.bzh,2022-12-12,200 OK,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'st-andre-des-eaux22.bzh'. (_ssl.c:997)"
www.st-andre-des-eaux22.bzh,2022-12-12,301 Moved Permanently http://st-andre-des-eaux22.bzh/,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.st-andre-des-eaux22.bzh'. (_ssl.c:997)"
tremel.bzh,2022-12-12,301 Moved Permanently http://www.tremel.bzh/,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'tremel.bzh'. (_ssl.c:997)"
www.tremel.bzh,2022-12-12,200 OK,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.tremel.bzh'. (_ssl.c:997)"
trevron.bzh,2022-12-12,301 Moved Permanently https://www.trevron.bzh/,2022-12-12,301 Moved Permanently https://www.trevron.bzh/
www.trevron.bzh,2022-12-12,200 OK,2022-12-12,200 OK
ville-carhaix.bzh,2022-12-12,301 Moved Permanently http://www.ville-carhaix.bzh,2022-12-12,"Connect call failed ('217.70.184.38', 443)"
www.ville-carhaix.bzh,2022-12-12,200 OK,2022-12-12,200 OK
ville-plougastel.bzh,2022-12-12,200 OK,2022-12-12,200 OK
ville-pontivy.bzh,2022-12-12,200 OK,2022-12-12,200 OK
www.ville-pontivy.bzh,2022-12-12,301 Moved Permanently https://ville-pontivy.bzh/,2022-12-12,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.ville-pontivy.bzh'. (_ssl.c:997)"
ville-pontlabbe.bzh,2022-12-12,200 OK,2022-12-12,200 OK
villedemalestroit.bzh,2022-12-12,200 OK,2022-12-12,200 OK
