name,http_last_check,http_status,https_last_check,https_status
cdg29.bzh,2022-12-13,302 Found https://www.cdg29.bzh/,2022-12-13,200 OK
www.cdg29.bzh,2022-12-13,200 OK,2022-12-13,200 OK
cdg07.com,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.cdg07.com,2022-12-13,200 OK,2022-12-13,200 OK
cdg13.com,2022-12-13,302 Found https://www.cdg13.com/,2022-12-13,301 Moved Permanently http://www.cdg13.com/
www.cdg13.com,2022-12-13,200 OK,2022-12-13,200 OK
cdg2a.com,2022-12-13,301 Moved Permanently https://www.cdg2a.com/,2022-12-13,301 Moved Permanently https://www.cdg2a.com/
www.cdg2a.com,2022-12-13,200 OK,2022-12-13,200 OK
cdg2b.com,2022-12-13,301 Moved Permanently https://www.cdg2b.com/,2022-12-13,301 Moved Permanently https://www.cdg2b.com/
www.cdg2b.com,2022-12-13,200 OK,2022-12-13,200 OK
cdg58.com,2022-12-13,301 Moved Permanently https://www.cdg58.com/,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'cdg58.com'. (_ssl.c:997)"
www.cdg58.com,2022-12-13,200 OK,2022-12-13,200 OK
cdg60.com,2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'cdg60.com'. (_ssl.c:997)",2022-12-13,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'cdg60.com'. (_ssl.c:997)"
www.cdg60.com,2022-12-13,200 OK,2022-12-13,200 OK
www.cdg73.com,2022-12-13,200 OK,2022-12-13,200 OK
cdg971.com,2022-12-13,301 Moved Permanently http://www.cdg971.com/,2022-12-13,301 Moved Permanently http://www.cdg971.com/
www.cdg971.com,2022-12-13,200 OK,2022-12-13,200 OK
cdg-64.fr,2022-12-13,301 Moved Permanently http://www.cdg-64.fr/,2022-12-13,301 Moved Permanently http://www.cdg-64.fr/
www.cdg-64.fr,2022-12-13,200 OK,2022-12-13,200 OK
cdg-martinique.fr,2022-12-13,200 OK,2022-12-13,200 OK
cdg01.fr,2022-12-13,200 OK,2022-12-13,"Connect call failed ('92.243.25.238', 443)"
