name,http_last_check,http_status,https_last_check,https_status
schillersdorf.hanau-lapetitepierre.alsace,2022-12-13,200 OK,2022-12-13,200 OK
www.schillersdorf.hanau-lapetitepierre.alsace,2022-12-13,Name or service not known,2022-12-13,Name or service not known
mlsaverne.alsace,2022-12-13,200 OK,2022-12-13,200 OK
www.mlsaverne.alsace,2022-12-13,301 Moved Permanently https://mlsaverne.alsace/,2022-12-13,301 Moved Permanently https://mlsaverne.alsace/
www.missionlocale.app,2022-12-13,200 OK,2022-12-13,200 OK
passculture.app,2022-12-13,301 Moved Permanently https://passculture.app:443/,2022-12-13,200 OK
backend.passculture.app,2022-12-13,404 NOT FOUND,2022-12-13,404 NOT FOUND
integration.passculture.app,2022-12-13,301 Moved Permanently https://integration.passculture.app:443/,2022-12-13,200 OK
backend.integration.passculture.app,2022-12-13,404 NOT FOUND,2022-12-13,404 NOT FOUND
web.passculture.app,2022-12-13,Name or service not known,2022-12-13,Name or service not known
mairieviesly.biz,2022-12-13,200 OK,2022-12-13,"Connect call failed ('160.16.207.133', 443)"
ww25.mairieviesly.biz,2022-12-13,Name or service not known,2022-12-13,Name or service not known
ww38.mairieviesly.biz,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.mairieviesly.biz,2022-12-13,Name or service not known,2022-12-13,Name or service not known
www.bretagnecentre.bzh,2022-12-13,200 OK,2022-12-13,200 OK
bretagne-ouest.cci.bzh,2022-12-13,No address associated with hostname,2022-12-13,No address associated with hostname
www.bretagne-ouest.cci.bzh,2022-12-13,200 OK,2022-12-13,200 OK
ch2p.bzh,2022-12-13,301 Moved Permanently https://www.ch2p.bzh/,2022-12-13,301 Moved Permanently https://www.ch2p.bzh/
www.ch2p.bzh,2022-12-13,200 OK,2022-12-13,200 OK
cma22.bzh,2022-12-13,301 Moved Permanently http://www.cma22.bzh,2022-12-13,"Connect call failed ('217.70.184.38', 443)"
www.cma22.bzh,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997),2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)
cma29.bzh,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997),2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)
www.cma29.bzh,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997),2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)
cma35.bzh,2022-12-13,301 Moved Permanently http://www.cma35.bzh,2022-12-13,"Connect call failed ('217.70.184.38', 443)"
www.cma35.bzh,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997),2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)
cma56.bzh,2022-12-13,301 Moved Permanently http://www.cma56.bzh,2022-12-13,"Connect call failed ('217.70.184.38', 443)"
www.cma56.bzh,2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997),2022-12-13,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)
crij.bzh,2022-12-13,200 OK,2022-12-13,200 OK
www.kervignac.bzh,2022-12-13,200 OK,2022-12-13,200 OK
mairie-lannedern.bzh,2022-12-13,Name or service not known,2022-12-13,Name or service not known
